Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
192.71;77.2;77.8952;965;838.4;209.6;77.1531522731225;1734.0453516349;22
192.88;77.5;78.0288;789;838.4;209.6;77.3899578386523;1714.75249651247;22
193.05;77.7;78.1616;554;449.6;112.4;77.6554498200225;1682.55866313165;22
193.21;77.9;78.2952;417;449.6;112.4;77.8717309359229;1642.63002653082;22
193.38;78;78.4288;386;313.6;78.4;77.9935711893879;1600.60031008902;22
193.55;78.1;78.5616;331;313.6;78.4;78.1236199495584;1557.88571489592;22
193.71;78.1;78.6952;281;224.8;56.2;78.1986649472399;1517.25214568772;22
193.88;78.2;78.828;280;224.8;56.2;78.2588146997531;1472.64004245066;22
194.05;78.2;78.9624;262;212.8;53.2;78.3017428525924;1429.44397534907;22
194.21;78.2;79.096;274;212.8;53.2;78.3155926382835;1387.8130413675;22
194.38;78.3;79.228;367;293.6;73.4;78.3443438779529;1352.21734122667;22
194.55;78.4;79.3624;351;293.6;73.4;78.4076524421489;1319.170066147;22
194.71;78.4;79.496;312;249.6;62.4;78.4720654883496;1285.43863127085;22
194.88;78.4;79.6288;306;249.6;62.4;78.490882423206;1250.12953487349;22
195.05;78.4;79.7616;309;247.2;61.8;78.4934657187573;1219.71025306852;22
195.21;78.4;79.8952;313;247.2;61.8;78.4911766966777;1187.78164612705;22
195.38;78.5;80;270;219.2;54.8;78.5453085567181;1156.5572720147;22
195.55;78.6;80;368;219.2;54.8;78.5763513945766;1126.53244147145;22
195.71;78.6;80;312;249.6;62.4;78.6331782896935;1102.74790232316;22
195.88;78.6;80;286;249.6;62.4;78.6585346197062;1074.97133632741;22
196.05;78.6;80;276;220.8;55.2;78.6641648625711;1047.2381264033;22
196.21;78.6;80;257;220.8;55.2;78.6631864196319;1019.81135938526;22
196.38;78.6;80;245;220.8;55.2;78.6604111644663;995.997860885381;22
196.55;78.6;80;226;196;49;78.6566041369288;969.478409152449;22
196.71;78.6;80;315;196;49;78.6525479178822;945.055321720939;22
196.88;78.6;80;314;252;63;78.649299929813;926.666621808755;22
197.05;78.6;80;294;252;63;78.6459551348477;906.387182384417;22
197.21;78.6;80;252;235.2;58.8;78.6426679868351;885.390483524027;22
197.38;78.6;80;213;235.2;58.8;78.639207737382;862.715644145008;22
197.55;78.6;80;178;170.4;42.6;78.6356863293764;839.615696713247;22
197.71;78.6;80;167;170.4;42.6;78.6324065721934;818.362272862738;22
197.88;78.6;80;276;132;33;78.6286977291554;797.062678188681;22
198.05;78.6;80;220;132;33;78.6067298516761;779.087986373343;22
198.21;78.6;80;193;176;44;78.5962398798946;759.275290350692;22
