Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
34.36;36.9;601.0;36.91452783322712;355.7430009820438;22.0
34.52;36.9;750.0;36.92550670229028;373.50795917575766;22.0
34.69;36.9;890.0;36.931473262774915;397.5138012937433;22.0
34.86;37.0;955.0;36.98366498710997;427.3322758374287;22.0
35.02;37.0;1010.0;37.02303710531552;457.4203624916997;22.0
35.19;37.1;1134.0;37.048652723411145;486.8432152053563;22.0
35.36;37.2;946.0;37.17011992263323;521.2069839633311;22.0
35.52;37.3;949.0;37.246797028464385;546.9616507956094;22.0
35.69;37.4;834.0;37.36229800543894;571.3631259219802;22.0
35.86;37.5;875.0;37.42959710233964;589.9562242325994;22.0
36.02;37.6;740.0;37.57111284324116;608.3353424973232;22.0
36.19;37.7;819.0;37.63591785447086;621.5797726919553;22.0
36.36;37.7;812.0;37.73009877641051;638.1512474444946;22.0
36.52;37.8;827.0;37.81489158305045;652.2303773995828;22.0
36.69;37.8;922.0;37.87705943269475;668.5823105579102;22.0
36.86;37.9;1018.0;37.93124183243576;689.1492394513773;22.0
37.02;38.0;1072.0;37.99260596772479;713.2891558474329;22.0
37.19;38.1;1002.0;38.09436790762695;737.6148668782566;22.0
37.36;38.2;989.0;38.18463979863718;758.7259703839034;22.0
37.52;38.3;928.0;38.31295509764744;777.2076384365519;22.0
37.69;38.5;912.0;38.4404024652205;790.9523540505809;22.0
37.86;38.6;876.0;38.553551109542234;802.3969014002603;22.0
38.02;38.7;874.0;38.69627312843982;814.5786502355008;22.0
38.19;38.7;929.0;38.773643965014756;825.9654884993232;22.0
38.36;38.9;1039.0;38.86030712552205;843.1692076507447;22.0
38.52;39.0;1046.0;38.98278968985614;862.1705564758274;22.0
38.69;39.1;1026.0;39.06501316852658;879.5185065444699;22.0
38.86;39.2;996.0;39.187872068866994;896.6429110914156;22.0
39.02;39.3;945.0;39.29971124620921;908.5160692213508;22.0
39.19;39.4;801.0;39.432274710148484;917.4103910784638;22.0
39.36;39.6;692.0;39.578674976892664;919.981995448359;22.0
39.52;39.7;579.0;39.709081512234874;916.2674193813913;22.0
39.69;39.8;510.0;39.81877964776234;908.2097864874191;22.0
39.86;39.9;436.0;39.932238676269876;897.3997784504647;22.0
40.02;40.1;376.0;40.05035358934352;883.9174222419774;22.0
40.19;40.2;303.0;40.14735786230135;868.6476802823305;22.0
40.36;40.3;269.0;40.26549678400144;849.9313885068692;22.0
40.53;40.3;228.0;40.354099810234246;829.6058846768505;22.0
40.69;40.4;221.0;40.43985539699701;809.3645066363649;22.0
40.86;40.5;202.0;40.532722328122965;789.3660974037326;22.0
41.03;40.7;184.0;40.61793466777225;769.3364482716704;22.0
41.19;40.7;121.0;40.729206177759366;748.167078285095;22.0
41.36;40.8;83.0;40.817438030105556;725.6156836350502;22.0
41.53;40.8;110.0;40.85596627285081;704.4450409958646;22.0
41.69;41.0;108.0;40.92676883371451;683.2463427899294;22.0
41.86;41.0;73.0;41.00777784651647;662.1360486500539;22.0
42.03;41.0;117.0;41.04430868917379;641.190658212801;22.0
42.19;41.1;134.0;41.10052432793147;622.4827892981378;22.0
42.36;41.2;118.0;41.14168339715196;604.8235742935564;22.0
42.53;41.2;72.0;41.215063265581065;587.0938755127094;22.0
42.69;41.3;112.0;41.241261302927896;570.376163364976;22.0
42.86;41.3;73.0;41.31573843583842;553.3983530862462;22.0
43.03;41.4;46.0;41.38084201116574;536.3840721484307;22.0
43.19;41.4;53.0;41.42560281073808;518.3907841656423;22.0
43.36;41.4;105.0;41.439076624693996;501.7271752193208;22.0
